BOOK_TITLE | Soccer Star

SOCCER_STAR_INTRO | <align="center"><br><br><br><br><br><b><size=300%>SOCCER STAR</size></b><br><br><u>By EDWARD PACKARD</u><br><br><br><br><br><br>Illustrated by TOM PADULA<br><br><br><br><br><br>Originally published by BANTAM BOOKS

SOCCER_STAR_PAGE_1 | You're starting a new school this year because 1 your family has just moved. As you approach Hillsdale Central School, you are struck by the beautiful grounds surrounding it, especially the carefully trimmed playing fields behind the school buildings. GO HILLSDALE banners wave above the bleachers. They remind you that Hillsdale has a reputation for turning out some of the best soccer teams in the state. <BR><BR>At your old school you were considered a pretty good soccer player. You had the feeling you might have become team captain in a few years, and the thought of putting your skills to the test at a place like Hillsdale seems pretty exciting. But you decide that it would be a good idea to scout out the team first. <BR><BR>After school your first day, you wander down to the field to watch a practice game between players from last year's team. They are as good as you have heard. The action is fast and rough. It's obvious this squad would run all over your old team.<BR><BR>You're wondering whether you'd have a chance against this kind of competition when Mike Maynard, a kid you had lunch with earlier, taps your shoulder. <BR><BR>"How ya doing?" he says. <BR><BR>"Hey, Mike," you say, but you're distracted by a small scuffle you see on the field. One player has elbowed another one, hard. "Did you see that?" you say to Mike. 

SOCCER_STAR_PAGE_2 | He nods. "That's Sean Raynor-the team bully. He likes to make other players think he's going to kick them instead of the ball."<br><br>"But no one blew the whistle," you say, surprised. <br><br>"It's just a practice game," Mike answers matter-of-factly. "Coach can't see everything." <br><br>"I hear he's holding tryouts for the team to- morrow," you say. "I think I'll give it a go." <br><br>Mike raises his eyebrows. "No offense meant, but from what you told me at lunch about your old team, you're not ready to play for Hillsdale. Not this year, anyway. This is one of the hottest soccer schools in the country. Why don't you go out for club soccer with me? It's perfect for kids who aren't on the varsity level. We have a lot of fun and we don't have to work our butts off the way they do here." <br><br>"I'll think about it," you say. "Guess I've got until tomorrow to decide."<br><br>"It's up to you." Mike laughs. "Anyway, see ya." He takes off, leaving you to your thoughts. You look back toward the field where the action is still raging.You'd sure like to be part of a great team, but maybe Mike is right. You might look like a klutz up against players like these. Maybe the club team is where you belong. 

SOCCER_STAR_PAGE_3 | Before you know it, the afternoon of your departure for the nationals has arrived. You're in for a great time, once the bus ride is over. It's due to be a long trip - through some pretty rugged country - and the weather forecast is for heavy storms most of the way.<br>This may be one forecast that's right, you think, as you climb aboard the bus with your teammates. It's already started raining, and the sky has gotten quite dark. As the bus winds through the curving mountain roads, the rain comes down even harder. The driver leans forward, trying to see through the sheets of water pelting the windshield.<br>Two hours later, you've dozed off in your seat at the front when you sense that the bus has stopped. You sit up with a jerk. It's dark outside and still pouring. The driver is backing the bus up for some reason. Bob Thomas, the kid next to you, is peering out the window. You tap his shoulder.<br>"What's going on? I've been asleep," you say. <br>"The driver said it was only a mile beyond the bridge up ahead to a restaurant, but the bridge is blocked by police barricades and there's no way to cross it," Bob explains. "The water's really high. They must be afraid it will give way."<br>Suddenly the bus grinds to a stop. The driver shouts, "Hold tight, everyone!"<br>"Flash flood!" someone yells from behind you.

SOCCER_STAR_PAGE_4 | You're center halfback in the final scrimmage the next day-and not surprised to see Sean Raynor playing the same position on the other side. He glares at you from across the midfield line. But you're not going to let him intimidate you.<br>Your team kicks off. The center forward rolls the ball off to the wing, who shovels it back to you. You give it a boot to your other wing forward, then take off downfield to receive a return pass.<br>Sean is all over you. As you're trying to get past, he says, "You're not going anywhere with that."<br>Keeping an eye on him, you feint with your right foot as if you're going to sweep it to the left, then use your left foot to brush the ball right. Sean is off balance for half a second, enough time for you to streak by.<br>Another player is coming at you, but now your wing forward is clear. You stop the ball and kick it cleanly into his path. He carries it all the way downfield and shoots. The goalie dives. The ball squeaks by. <i>Goal!</i>

SOCCER_STAR_PAGE_6 | After the game, the coach reads off the names of the kids who are being kept on the team. You're not called. No surprise, you think. Still, you feel awfully disappointed.<br>As you head for the locker room, Coach Drake jogs up to you. "I watched you carefully during the game," he says. "You're not quite ready to play on the team, but I think you've got a lot of potential. You can run, you've got good ball sense, and you seemed to know where everyone was and which way they were going to move. If you work hard in club play, you should be ready for the team next year."<br>"Thanks, Coach," you say. Drake's comments restore your confidence, and even though you've been cut, you go home that night feeling happy.

SOCCER_STAR_TRANSITION_PAGE_35 | You decide to try out for the varsity team
SOCCER_STAR_TRANSITION_PAGE_67 | You decide to play club soccer

SOCCER_STAR_PAGE_7 | Back at Hillsdale, school really does seem a lot more fun. The reason is that, as Mr. Charbonneau taught you, the more you know about something the more interesting it becomes. Summer school has also made you more efficient: you're able to get your homework done and spend a lot of time playing soccer.<br>You're not sure that you're going to be a soccer superstar, but you're good enough to be elected captain of the team. Your grades are also better than you ever dreamed they could be. So it's not surprising that you have already received four offers of college scholarships. You'll have to decide which one to choose. That will be the most fun of any problem you've had.<br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_8 | It's almost dawn when you see a flashing light out the window. A searchlight flickers around the bus. In its glare you see a mud-splattered police car pulling up across the,bank. A few moments later you hear an officer's voice on the bullhorn.<br>"Hang tight in your seats, everyone. Don't move. Rescue equipment is on the way. There's no more rain expected, and the river should be just about as high as it's going to get. We'll have you out of there in a couple of hours."<br>By the time the rising sun peaks through a gap in the mountains, another police car and a fire truck arrive. The rescue workers swing a ladder into place and drop a rope and harness down through the emergency exit. One by one you're all pulled safely out of the bus.<br>Half an hour later another bus, ordered by the police, arrives, and you all load onto it. It's heading directly back to Hillsdale. No one's in shape to play soccer for a while, but you don't mind that much - you're just glad to be alive.<br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_10 | Your leg comes around in a few days, and with Sean under suspension, there's no doubt about your place on the team. Coach Drake still hasn't announced his starting lineup, but you intend to be in it. Hillsdale's a good bet to win the state championship, and you're not just going to sit by and watch.<br>You soon learn that halfback is an important position. Being in the middle of the field, you spend more time running than anyone. You're never far from the ball, and there's no letting up.<br>This kind of running gets you in terrific shape, and all the while you're improving your skills. After a couple of weeks working out with the varsity, you feel as if you're really part of the team.<br>You're so caught up with soccer that you almost forget about Sean Raynor. Coach Drake sent him to play club soccer, but he doesn't even show up anymore. You hear he's taking karate instead.

SOCCER_STAR_PAGE_11 | A Weston fullback charges you. Even if you get around him, you'll run into a swarm of defenders. Your wing forward is way down in the left corner. You stop the ball and give it a terrific boot right through the defense. Your wing takes it and shovels it to the center forward, who drills it toward the net. The ball rises quickly and even Cliff Lindholm, the great Weston goalie, can't stop it. Score tied, 1-1.<br>There's not much time to cheer. Coach Drake has warned you about this. "Don't let up after making a score. The other side will take the offense with a vengeance. If you spend time feeling good about yourself, they're likely to score right back."<br>You shoot a look at the clock - only four minutes left.<br>A few seconds later you get control of the ball and take it deep into enemy territory. A Weston halfback guards you closely, but you're almost in scoring position. You line up a pass to Mike Kalbacher, your only teammate in the clear. It's got to be just right.<br>The halfback guarding you sees you're going to pass and cautiously begins moving to block it. Maybe you should fake the pass and try to get around him, giving you a clear path to the goal.

SOCCER_STAR_TRANSITION_PAGE_36 | You pass
SOCCER_STAR_TRANSITION_PAGE_51 | You fake, then take the ball down to try to score

SOCCER_STAR_PAGE_12 | One day you discover that someone on the team really must know who you are. You find a large note, written in black ink, taped to your locker. It reads<br><br><b>VARSITY SOCCER IS NO GAME. BEWARE WIMP!</b><br><br>You don't know who would have left you such a note or why. Maybe the players aren't as happy to have you as you thought.<br>Just then, Mike strolls up behind you. He notices the startled expression on your face. "What's wrong?" he asks. You show him the note.<br>"Who needs those guys anyway," he says.<br>"Why don't you forget about soccer and come with me to Daredevil Park on Friday?"<br>Daredevil Park, the wildest amusement park in the country, is only about forty miles from Hillsdale. You'd heard it had been shut down be- cause of safety problems.<br>"It's closed," you tell Mike.<br>"Oh no it's not," Mike says. "They got things fixed and they're reopening it next week. They're having a preview on Friday for a limited number of people. My uncle Carl knows the owner and he got me a couple of free tickets for their great new attraction - Twenty Thousand Leagues under the Sea. It's supposed to be out of this world!"

SOCCER_STAR_PAGE_14 | "Sounds fun, Mike," you say. "I'll let you know."<br>Mike nods and walks off, leaving you with a tough decision. Between threatening notes and grueling workouts, soccer has become more than just a hobby. You really could use a break. But if you skip practice, not only will you lose your shot at becoming a star, you'll probably gain the reputation of being a chicken.

SOCCER_STAR_TRANSITION_PAGE_33 | You decide to ignore the note and play soccer Friday
SOCCER_STAR_TRANSITION_PAGE_79 | You go to Daredevil Park

SOCCER_STAR_PAGE_15 |  I might just make the starting team after all, you think. But a few moments later an opponent zips past you and drives on to score.<br>After the next kickoff the action heats up. Sean, dribbling the ball, is coming at you. You're determined not to let him past. As you force him to the sideline, he boots the ball off to the side, hoping his wing will trap it. The kick is a little wide. His wing hustles after it. Your right half-back is racing him to it.<br><i>Smack!</i>

SOCCER_STAR_PAGE_16 | Camp continues for eight weeks, and as the final week approaches, Coach Williams makes a surprise announcement. The last day will feature a big game, pitting two teams made up of players from the camp.<br>Players are assigned by lot to one of two teams: the Buffs (short for Buffalos) and the Bears. You'll be on the Buffs. Your excitement builds the day before the game when Zeke Chandler, an assistant coach at the camp and the Buffs' head coach, tells you that you'11be in the starting lineup.

SOCCER_STAR_PAGE_17 | You decide to ignore Sean's trick and stay in the game. You're not a quitter or a squealer. But your leg hurts every time you put weight on it. You keep playing but definitely not very well.<br>Later in the game there's a loose ball near you. You'd normally have no trouble getting it, but now an opponent gets there first. He hooks it off to a teammate, who volleys it back. The two of them charge the goal, shoveling the ball back and forth between them. You hobble after them, but your attempt to catch up is futile. Your fullback struggles to stop them, but he can't be in two places at once. A moment later one of them scores on a wide-open shot.<br>Before the next kickoff the coach calls for time. "You looked as if you were limping," he says to you.<br>"I got kicked," you respond.<br>He takes a look. "Put some ice on it," he says, gesturing toward the sidelines. You hobble off the field and have to watch the rest of the game sitting on the bench. The halfback who replaced you isn't that great. Sean Raynor consistently gets by him, which only makes you feel worse.

SOCCER_STAR_PAGE_18 | Suddenly the bus slips even more. The driver spins around with a frightened look.<br>You glance toward the rear. Coach Drake is beginning to make his way up the aisle. He obviously wants to see for himself what's going on.<br>Again the bus is jolted. You jump from your seat, race to the open door, and peer into the darkness. The water rushing by is at least two feet deep. At the rear of the bus it's deeper. The rain is easing up, but you still can't see much.<br>"Hey, you in the doorway. Get back in your seat," the driver yells.<br>You are about to move back to your seat when the bus lurches again. You'd be safer sitting down, but you've got a sinking feeling that at any second the bus could slide backward into the raging river. This may be your only chance to get out and look for help.

SOCCER_STAR_TRANSITION_PAGE_68 | You jump out
SOCCER_STAR_TRANSITION_PAGE_104 | You go back to your seat

SOCCER_STAR_PAGE_20 | One day after a late practice you're walking home alone. It's getting dark, and you are run- ning over plays in your head. So when you round a corner, you're shocked to see Sean there, leaning against a wall as if he's been expecting you.<br>"How you doing, Sean?" you say.<br>He spits on the ground near you. There is a gleam in his eye as if he's been waiting for this meeting.<br>You keep walking. When you're a few yards away from him, he jumps out, blocking your path.<br>"I told you you'd be sorry for what you did," he says.

SOCCER_STAR_PAGE_21 | "I'd love to, Coach," you say excitedly. "I hope I've got what it takes."<br>Coach Drake smiles. "Just keep working hard and you'll do fine. I'll expect you at practice one week from today, 3:00 P.M. sharp." He gives you a hard slap on the back and then strides off toward the locker room.<br>Wow, this is amazing. You are going to be a soccer star for a powerhouse like Hillsdale. You imagine yourself in a crisp new uniform, streaking down the field with the ball on your foot and the roar of the Hillsdale fans ringing in your ears. Next week can't come soon enough!<br>In the days that follow, you run extra hard to get in shape. During club games you really throw yourself into the action. You've got to be ready for your first varsity team practice. You're not worried, though, because all this additional training has you feeling stronger already.<br>You wonder what the varsity players are like, since you've never met any of them. During school you notice several team members walking through the halls together or hanging around the cafeteria. They're not loud or obnoxious. Instead they seem to be cool, confident, and proud. They've got the mark of winners, you think.<br>You're a little nervous about introducing yourself, so you stay quiet. But a few players give you looks as if they know who you are. They'll all know soon enough, you think, when you show them your stuff at practice.

SOCCER_STAR_PAGE_22 | A huge monster is visible, pressed up against the porthole. It's at least fifty feet long, not counting a pair of twenty-foot tentacles that probe the water in front of it, and it looks even more real than the sharks. You realize that this must be the giant squid!<br>"The titan of the deep," Captain Nemo shouts. As he speaks, the monster veers and lunges toward the ship. "She's furious that we have entered her waters," the captain yells. "Emergency ascent!"<br>The sub begins to rise, but the next moment it's jolted by a tremendous crash. The entire vessel shudders from the impact. Everyone is laughing, but the laughter suddenly stops. Cracks have opened up. Water is rushing in.<br>"Emergency. Mayday!" the captain yells into his radio. There is only static in return. Then, without warning, the lights go out. Everything is in darkness, but you can still hear the water gushing into the ship. You can also feel it sloshing around your ankles.<br>A dim red emergency light flashes on. The water is still pouring in - it's almost up to your knees. In the shadowy light you can make out people clustering around Captain Nemo. He's bent over the master panel, trying to get the controls to work.<br>If this is a Daredevil Park trick, you think, it sure is a good one!

SOCCER_STAR_PAGE_24 | "I'm Captain Nemo," the man announces. "Welcome aboard!"<br>The man who is obviously a Daredevil Park employee, has an old-fashioned naval uniform and a long, gray beard, as if he had just walked out of the nineteenth century.<br>The interior of the sub is also old-fashioned, decorated with ornate seats and carpets made of maroon velvet. At the control station is an impressive brass periscope and a complex array of meters, dials, and levers for maneuvering the craft.<br>"Take a seat, everyone, and fasten your safety belts," Captain Nemo orders. "Stand by to dive."

SOCCER_STAR_PAGE_25 | You refuse to back down. "Get out of my way, Sean!"<br>Instead of moving aside, he takes a karate stance. "Not until you get what's coming to you. "<br>"I've got nothing coming, Sean. You started this whole thing. What did you expect me to do?" you ask.<br>"Not rat on me to the coach," he snaps.<br>"Rats kick, people talk," you say. Sean glares at you with hate in his eyes. Suddenly he lunges at you.<br>You step neatly aside and dart past him. He recovers quickly and leaps at you again.<br>Sean looks meaner than ever. You don't like fighting, but in this case it may be the only way to protect yourself. Then again, you don't want to risk an injury during the soccer season. Maybe you should just run away.

SOCCER_STAR_TRANSITION_PAGE_109 | You decide to fight Sean
SOCCER_STAR_TRANSITION_PAGE_94 | You decide to run away

